CDN Number,Neighbourhood,Borough,Latitude,Longitude
97,Yonge-St.Clair,Old City of Toronto,43.68883000000005,-79.39886999999999
98,Rosedale-Moore Park,Old City of Toronto,43.681940000000054,-79.37938999999994
99,Mount Pleasant East,Old City of Toronto,43.70563000000004,-79.38192999999995
100,Yonge and Eglinton,Old City of Toronto,43.706750061226415,-79.3983099048018
101,Forest Hill South,Old City of Toronto,43.69431000000003,-79.41609999999997
102,Forest Hill North,Old City of Toronto,43.705220000000054,-79.42744999999996
103,Lawrence Park South,Old City of Toronto,43.71852000000007,-79.40575999999999
104,Mount Pleasant West,Old City of Toronto,43.70541000000003,-79.39255999999995
105,Lawrence Park North,Old City of Toronto,43.72830000000005,-79.40641999999997
106,Humewood-Cedarvale,York,43.68942000000004,-79.42697999999996
107,Oakwood Village,York,43.68888000000004,-79.43987999999996
108,Briar Hill-Belgravia,York,43.69852000000003,-79.45124999999996
109,Caledonia-Fairbank,York,43.68857000000003,-79.45482999999996
110,Keelesdale-Eglinton West,York,43.68569000000008,-79.46927999999997
111,Rockcliffe-Smythe,York,43.67525000000006,-79.48863999999998
112,Beechborough-Greenbrook,York,43.69311000000005,-79.47830999999996
113,Weston,York,43.716810000000066,-79.51630999999998
114,Lambton Baby Point,York,43.65932000000004,-79.49750999999998
115,Mount Dennis,York,43.68910000000005,-79.49551999999994
116,Steeles,Scarborough,43.812310000000025,-79.32153999999997
117,L'Amoreaux,Scarborough,43.797300000000064,-79.31221999999997
118,Tam O'Shanter-Sullivan,Scarborough,43.78203000000008,-79.30539999999996
119,Wexford-Maryvale,Scarborough,43.74860000000007,-79.29801999999995
120,Clairlea-Birchmount,Scarborough,43.716080000000034,-79.28313999999995
121,Oakridge,Scarborough,43.698830000000044,-79.27911999999998
122,Birchcliffe-Cliffside,Scarborough,43.694720000000075,-79.26459999999997
123,Cliffcrest,Scarborough,43.726420000000076,-79.23296999999997
124,Kennedy Park,Scarborough,43.72587000000004,-79.26228999999995
125,Ionview,Scarborough,43.73342000000008,-79.26628999999997
126,Dorset Park,Scarborough,43.75533000000007,-79.27745999999996
127,Bendale,Scarborough,43.75963000000007,-79.25738999999999
128,Agincourt South-Malvern West,Scarborough,43.787360000000035,-79.26934999999997
129,Agincourt North,Scarborough,43.809300000000064,-79.26706999999999
130,Milliken,Scarborough,43.82325000000003,-79.27728999999994
131,Rouge,Scarborough,43.80012000000005,-79.16628999999995
132,Malvern,Scarborough,43.81023000000005,-79.22037999999998
133,Centennial Scarborough,Scarborough,43.77914000000004,-79.14724999999999
134,Highland Creek,Scarborough,43.789480000000026,-79.17613999999998
135,Morningside,Scarborough,43.78255000000007,-79.20522999999997
136,West Hill,Scarborough,43.76343000000003,-79.17819999999995
137,Woburn,Scarborough,43.767480000000035,-79.22828999999996
138,Eglinton East,Scarborough,43.73968000000008,-79.24553999999995
139,Scarborough Village,Scarborough,43.738650000000064,-79.21698999999995
140,Guildwood,Scarborough,43.74953000000005,-79.18991999999997
