,NEIGHBORHOOD,DISTRICT,LATITUDE,LONGITUDE
42,Chatsworth,San Fernando Valley,34.257250000000056,-118.59100999999998
43,Chatsworth Reservoir,San Fernando Valley,34.241840000000025,-118.62292999999994
44,Chesterfield Square,South L.A.,33.99251000000004,-118.31284999999997
45,Cheviot Hills,Westside,34.03403000000003,-118.41055999999998
46,Chinatown,Central L.A.,34.062290000000075,-118.23836999999997
47,Citrus,San Gabriel Valley,34.11501000000004,-117.89119
48,Claremont,Pomona Valley,34.09641000000005,-117.71639999999996
49,Commerce,Southeast,34.001190000000065,-118.15493999999995
50,Compton,Southeast,33.89569000000006,-118.22435999999999
51,Covina,San Gabriel Valley,34.08743000000004,-117.88990999999999
52,Cudahy,Southeast,33.95987000000002,-118.17636999999996
53,Culver City,Westside,34.02161000000007,-118.39620999999994
54,Cypress Park,Northeast L.A.,34.09448000000003,-118.22677999999996
55,Del Aire,South Bay,33.91640000000007,-118.36712999999997
56,Del Rey,Westside,33.99082000000004,-118.42061999999999
57,Desert View Highlands,Antelope Valley,34.59132000000005,-118.15241999999995
58,Diamond Bar,San Gabriel Valley,34.000860000000046,-117.82906999999994
59,Downey,Southeast,33.94077000000004,-118.12767999999994
60,Downtown,Central L.A.,34.047519926712575,-118.24297005496553
61,Duarte,San Gabriel Valley,34.13961000000006,-117.97049999999996
62,Eagle Rock,Northeast L.A.,34.13927000000007,-118.21086999999994
63,East Compton,Southeast,33.89822000000004,-118.19459999999998
64,East Hollywood,Central L.A.,34.09086000000008,-118.29334999999998
65,East La Mirada,Southeast,33.92446000000007,-117.98894999999999
66,East Los Angeles,Eastside,34.03347000000008,-118.15908999999999
67,East Pasadena,San Gabriel Valley,34.135320000000036,-118.07318999999995
68,East San Gabriel,San Gabriel Valley,34.12197000000003,-118.07751999999999
69,Echo Park,Central L.A.,34.07609000000008,-118.25580999999994
70,Elizabeth Lake,Northwest County,34.65967000000006,-118.37746999999996
71,El Monte,San Gabriel Valley,34.07105000000007,-118.03093999999999
72,El Segundo,South Bay,33.920840000000055,-118.41596999999996
73,El Sereno,Eastside,34.076850000000036,-118.17933999999997
74,Elysian Park,Central L.A.,34.08250000000004,-118.23319999999995
75,Elysian Valley,Central L.A.,34.071737626469016,-117.72165734418904
76,Encino,San Fernando Valley,34.16538000000003,-118.52711
77,Exposition Park,South L.A.,34.01141000000007,-118.29007997056962
78,Fairfax,Central L.A.,34.076100000000054,-118.36121999999995
79,Florence,South L.A.,33.97475000000003,-118.24538999999999
80,Florence-Firestone,South L.A.,33.97475000000003,-118.24538999999999
81,Gardena,South Bay,33.88379000000003,-118.30701999999997
82,Glassell Park,Northeast L.A.,34.11922000000004,-118.23043999999999
83,Glendale,Verdugos,34.146330000000034,-118.24863999999997
84,Glendora,San Gabriel Valley,34.13602000000003,-117.86451999999997
85,Gramercy Park,South L.A.,34.033900000000074,-118.31257999999997
86,Granada Hills,San Fernando Valley,34.26394000000005,-118.49793999999997
87,Green Meadows,South L.A.,33.81227164477179,-118.30836719294864
88,Green Valley,Northwest County,34.61733000000004,-118.40878999999995
89,Griffith Park,Central L.A.,34.12327000000005,-118.29989999999998
90,Hacienda Heights,San Gabriel Valley,33.99413000000004,-117.97251999999997
91,Hancock Park,Central L.A.,34.06892000000005,-118.33254999999997
92,Hansen Dam,San Fernando Valley,34.260560000000055,-118.38535999999999
93,Harbor City,Harbor,33.79781000000003,-118.30247999999995
94,Harbor Gateway,Harbor,33.85418427760469,-118.3034797353442
95,Harvard Heights,Central L.A.,34.043390000000045,-118.30902999999995
96,Harvard Park,South L.A.,33.8440351874425,-118.30661213690524
97,Hasley Canyon,Northwest County,34.47184000000004,-118.66037999999998
98,Hawaiian Gardens,Harbor,33.830820000000074,-118.08183999999994
99,Hawthorne,South Bay,33.918220000000076,-118.35272999999995
100,Hermosa Beach,South Bay,33.864040000000045,-118.39534999999995
101,Hidden Hills,Santa Monica Mountains,34.15918000000005,-118.64024999999998
102,Highland Park,Northeast L.A.,34.10982000000007,-118.19231999999994
103,Historic South-Central,South L.A.,34.01979000000006,-118.25727999999998
104,Hollywood,Central L.A.,34.10156000000006,-118.33707999999996
105,Hollywood Hills,Central L.A.,34.10524000000004,-118.32064999999994
106,Hollywood Hills West,Central L.A.,34.120060000000024,-118.35089999999997
107,Huntington Park,Southeast,33.981430000000046,-118.21913999999998
108,Hyde Park,South L.A.,33.989040000000045,-118.32669999999996
109,Industry,San Gabriel Valley,34.023360000000025,-117.95660999999996
110,Inglewood,South Bay,33.96178000000003,-118.35652999999996
111,Irwindale,San Gabriel Valley,34.10514000000006,-117.93376999999998
112,Jefferson Park,South L.A.,34.03264000000007,-118.31801999999999
113,Koreatown,Central L.A.,34.05779000000007,-118.30090999999999
114,La Cañada Flintridge,Verdugos,34.20766000000003,-118.20724999999999
115,La Crescenta-Montrose,Verdugos,34.229070000000036,-118.23989999999998
116,Ladera Heights,Westside,33.994020000000035,-118.37398999999999
117,La Habra Heights,San Gabriel Valley,33.94813000000005,-117.96482999999995
118,Lake Balboa,San Fernando Valley,34.207160000000044,-118.50113999999996
119,Lake Hughes,Northwest County,34.67868000000004,-118.45219999999995
120,Lake Los Angeles,Antelope Valley,34.606130000000064,-117.82445999999999
121,Lake View Terrace,San Fernando Valley,34.27453000000003,-118.37349999999998
122,Lakewood,Harbor,33.850010000000054,-118.13383999999996
123,La Mirada,Southeast,33.90853000000004,-118.01172999999994
124,Lancaster,Antelope Valley,34.69890000000004,-118.14477999999997
125,La Puente,San Gabriel Valley,34.02012000000008,-117.95039999999995
126,Larchmont,Central L.A.,34.08099000000004,-118.32364999999999
127,La Verne,Pomona Valley,34.113000000000056,-117.76527999999996
128,Lawndale,South Bay,33.89862000000005,-118.35384999999997
129,Leimert Park,South L.A.,34.008380000000045,-118.33044999999998
130,Lennox,South Bay,33.93819000000008,-118.35092999999995
131,Leona Valley,Antelope Valley,34.61793000000006,-118.28835999999995
132,Lincoln Heights,Eastside,34.069830000000024,-118.21163999999999
133,Littlerock,Antelope Valley,34.521060000000034,-117.99271999999996
134,Lomita,South Bay,33.80528000000004,-118.31989999999996
135,Long Beach,Harbor,33.76672000000008,-118.19239999999996
136,Lopez/Kagel Canyons,Angeles Forest,34.27519071589921,-118.38790628725796
137,Los Feliz,Central L.A.,34.10541000000006,-118.28923999999995
138,Lynwood,Southeast,33.92783000000003,-118.19926999999996
139,Malibu,Santa Monica Mountains,34.03652000000005,-118.68795999999998
140,Manchester Square,South L.A.,34.563475158387824,-118.0504534517424
141,Manhattan Beach,South Bay,33.887200000000064,-118.41085999999996
142,Marina del Rey,Westside,33.985280000000046,-118.45237999999995
143,Mar Vista,Westside,34.004680000000064,-118.42912999999999
144,Mayflower Village,San Gabriel Valley,34.11504000000008,-118.00915999999995
145,Maywood,Southeast,33.98757000000006,-118.18980999999997
146,Mid-City,Central L.A.,34.040170000000046,-118.34762999999998
147,Mid-Wilshire,Central L.A.,34.05286304232883,-118.4582513323904
148,Mission Hills,San Fernando Valley,34.27397000000008,-118.46782999999999
149,Monrovia,San Gabriel Valley,34.147830000000056,-117.99877999999995
150,Montebello,Southeast,34.01959000000005,-118.11642999999998
151,Montecito Heights,Northeast L.A.,34.091980000000035,-118.20100999999994
152,Monterey Park,San Gabriel Valley,34.05979000000008,-118.12650999999994
153,Mount Washington,Northeast L.A.,34.09904000000006,-118.21133999999995
154,Northeast Antelope Valley,Antelope Valley,34.4003247684866,-118.45925606884892
155,North El Monte,San Gabriel Valley,34.10286000000008,-118.02362999999997
156,North Hills,San Fernando Valley,34.23563000000007,-118.48469999999998
157,North Hollywood,San Fernando Valley,34.16982000000007,-118.37898999999999
158,Northridge,San Fernando Valley,34.235040000000026,-118.53385999999995
159,Northwest Antelope Valley,Antelope Valley,34.4003247684866,-118.45925606884892
160,Northwest Palmdale,Antelope Valley,33.868259054165,-118.26344777857022
161,North Whittier,San Gabriel Valley,34.0740094386482,-118.41883790642548
162,Norwalk,Southeast,33.916810000000055,-118.07251999999994
163,Pacific Palisades,Westside,34.04710000000006,-118.52687999999995
164,Pacoima,San Fernando Valley,34.26108000000005,-118.42897999999997
165,Palmdale,Antelope Valley,34.579360000000065,-118.11658999999997
166,Palms,Westside,34.01986000000005,-118.42095999999998
167,Palos Verdes Estates,South Bay,33.80003000000005,-118.39186999999998
168,Panorama City,San Fernando Valley,34.223020000000076,-118.44874999999996
169,Paramount,Southeast,33.88516000000004,-118.16139999999996
170,Pasadena,Verdugos,34.14745000000005,-118.14426999999995
171,Pico Rivera,Southeast,33.98242000000005,-118.08798999999999
172,Pico-Robertson,Westside,34.055750000000046,-118.37999999999994
173,Pico-Union,Central L.A.,34.04004000000003,-118.28554999999994
174,Playa del Rey,South Bay,33.95924000000008,-118.44800999999995
175,Playa Vista,Westside,33.97395000000006,-118.43037999999996
176,Pomona,Pomona Valley,34.05499000000003,-117.75003999999996
177,Porter Ranch,San Fernando Valley,34.28027000000003,-118.56129999999996
178,Quartz Hill,Antelope Valley,34.64725000000004,-118.21844999999996
179,Ramona,San Gabriel Valley,34.030500036643765,-118.27370995614287
180,Rancho Dominguez,Harbor,33.85761000000008,-118.21593999999999
181,Rancho Palos Verdes,South Bay,33.74526000000003,-118.40377999999998
182,Rancho Park,Westside,34.04507000000007,-118.41923999999995
183,Redondo Beach,South Bay,33.84445000000005,-118.38793999999996
184,Reseda,San Fernando Valley,34.19384000000008,-118.54753999999997
185,Ridge Route,Northwest County,34.74104479380456,-118.70979354455197
186,Rolling Hills,South Bay,33.77609000000007,-118.34398999999996
187,Rolling Hills Estates,South Bay,33.78359000000006,-118.35376999999994
188,Rosemead,San Gabriel Valley,34.08075000000008,-118.07561999999996
189,Rowland Heights,San Gabriel Valley,33.98847000000006,-117.90538999999995
190,San Dimas,San Gabriel Valley,34.10668000000004,-117.80297999999999
191,San Fernando,San Fernando Valley,34.28406000000007,-118.43843999999996
192,San Gabriel,San Gabriel Valley,34.097230000000025,-118.10841999999997
193,San Marino,San Gabriel Valley,34.12208000000004,-118.10520999999994
194,San Pasqual,San Gabriel Valley,34.13781000000006,-118.10069999999996
195,San Pedro,Harbor,33.73787000000004,-118.28460999999999
196,Santa Clarita,Northwest County,34.41387000000003,-118.55120999999997
197,Santa Fe Springs,Southeast,33.94649000000004,-118.08383999999995
198,Santa Monica,Westside,34.01158000000004,-118.49226999999996
199,Sawtelle,Westside,34.03057000000007,-118.46340999999995
200,Sepulveda Basin,San Fernando Valley,34.023755047947056,-118.42599495240766
201,Shadow Hills,San Fernando Valley,34.26273000000003,-118.35077999999999
202,Sherman Oaks,San Fernando Valley,34.15106000000003,-118.44433999999995
203,Sierra Madre,San Gabriel Valley,34.16187000000008,-118.05715999999995
204,Signal Hill,Harbor,33.79677000000004,-118.16769999999997
205,Silver Lake,Central L.A.,34.082730000000026,-118.27306999999996
206,South Diamond Bar,San Gabriel Valley,34.02320728359489,-117.81157350441835
207,Southeast Antelope Valley,Antelope Valley,34.4003247684866,-118.45925606884892
208,South El Monte,San Gabriel Valley,34.046440000000075,-118.04325999999998
209,South Gate,Southeast,33.95722000000006,-118.20562999999999
210,South Park,South L.A.,33.99740000000003,-118.26956999999999
211,South Pasadena,San Gabriel Valley,34.11582000000004,-118.15175999999997
212,South San Gabriel,San Gabriel Valley,34.06251000000003,-118.09034999999994
213,South San Jose Hills,San Gabriel Valley,34.012650000000065,-117.90454999999997
214,South Whittier,Southeast,33.937220000000025,-118.03173999999996
215,Stevenson Ranch,Northwest County,34.390010000000075,-118.57888999999994
216,Studio City,San Fernando Valley,34.14453000000003,-118.39560999999998
217,Sunland,Verdugos,34.259690000000035,-118.31423999999998
218,Sun Valley,San Fernando Valley,34.21547000000004,-118.37033999999994
219,Sun Village,Antelope Valley,34.55952000000008,-117.95675999999997
220,Sylmar,San Fernando Valley,34.310200000000066,-118.45307999999994
221,Tarzana,San Fernando Valley,34.175290000000075,-118.55009999999999
222,Temple City,San Gabriel Valley,34.10728000000006,-118.05667999999997
223,Toluca Lake,San Fernando Valley,34.152190000000076,-118.34921999999995
224,Topanga,Santa Monica Mountains,34.09719000000007,-118.60041999999999
225,Torrance,South Bay,33.83705000000003,-118.34311999999994
226,Tujunga,Verdugos,34.25183000000004,-118.29096999999996
227,Tujunga Canyons,Angeles Forest,34.250229255311815,-118.288618691942
228,Unincorporated Catalina Island,Harbor,34.16022438185897,-118.79277367074239
229,Unincorporated Santa Monica Mountains,Santa Monica Mountains,34.10405000000003,-118.71103999999997
230,Unincorporated Santa Susana Mountains,Northwest County,34.39000000000004,-118.59369999999996
231,Universal City,San Fernando Valley,34.13882000000007,-118.36172999999997
232,University Park,South L.A.,34.02819000000005,-118.28396999999995
233,Valinda,San Gabriel Valley,34.045240000000035,-117.94236999999998
234,Valley Glen,San Fernando Valley,34.187110000000075,-118.41380999999996
235,Valley Village,San Fernando Valley,34.16488000000004,-118.39802999999995
236,Val Verde,Northwest County,34.445580000000064,-118.65769999999998
237,Van Nuys,San Fernando Valley,34.184390000000064,-118.44651999999996
238,Venice,Westside,33.987540000000024,-118.47214999999994
239,Vermont Knolls,South L.A.,34.092412551644095,-118.2910049644989
240,Vermont-Slauson,South L.A.,33.989186028752506,-118.23711058820078
241,Vermont Square,South L.A.,34.00058000000007,-118.29673999999994
242,Vermont Vista,South L.A.,34.092412551644095,-118.2910049644989
243,Vernon,Southeast,34.005130000000065,-118.23024999999996
244,Veterans Administration,Westside,33.941879259889745,-118.4223098226343
245,View Park-Windsor Hills,South L.A.,33.995510000000024,-118.34834999999998
246,Vincent,San Gabriel Valley,34.10705000000007,-117.91717999999997
247,Walnut,San Gabriel Valley,34.02693000000005,-117.84049999999996
248,Walnut Park,Southeast,33.96948000000003,-118.22028999999998
249,Watts,South L.A.,33.94128000000006,-118.23902999999996
250,West Adams,South L.A.,34.02798000000007,-118.35313999999994
251,West Carson,Harbor,33.82221000000004,-118.29032999999998
252,Westchester,South Bay,33.959730000000036,-118.41368999999997
253,West Compton,Southeast,33.893170000000055,-118.26738999999998
254,West Covina,San Gabriel Valley,34.07214000000005,-117.93806999999998
255,West Hills,San Fernando Valley,34.200360000000046,-118.62932999999998
256,West Hollywood,Central L.A.,34.09069000000005,-118.37052999999997
257,Westlake,Central L.A.,34.053710000000024,-118.27129999999994
258,Westlake Village,Santa Monica Mountains,34.14987000000008,-118.81874999999997
259,West Los Angeles,Westside,34.046470000000056,-118.43394999999998
260,Westmont,South L.A.,33.94091000000003,-118.30247999999995
261,West Puente Valley,San Gabriel Valley,34.04370000000006,-117.95818999999995
262,West San Dimas,San Gabriel Valley,34.165203136471206,-117.76856270786676
263,West Whittier-Los Nietos,Southeast,33.976000000000056,-118.06908999999996
264,Westwood,Westside,34.061680000000024,-118.44545
265,Whittier,San Gabriel Valley,33.97542000000004,-118.03385999999995
266,Whittier Narrows,San Gabriel Valley,34.02918000000005,-118.04950999999994
267,Willowbrook,South L.A.,33.91620000000006,-118.23025999999999
268,Wilmington,Harbor,33.78986000000003,-118.26321999999999
269,Windsor Square,Central L.A.,34.06896000000006,-118.31870999999995
270,Winnetka,San Fernando Valley,34.20329000000004,-118.57097999999996
271,Woodland Hills,San Fernando Valley,34.16889000000003,-118.61147999999997
